GlyTouCanAccession	GLYCOSCIENCESdeAccession
G00017MO	2636
G00025AJ	2621
G00031MO	3236
G00031MO	571
G00031MO	578
G00031MO	584
G00031MO	611
G00031MO	672
G00031MO	2332
G00031MO	2865
G00031MO	5194
G00031MO	5220
G00031MO	5221
G00031MO	5984
G00031MO	7131
G00031MO	7133
G00031MO	7215
G00031MO	7507
G00031MO	7508
G00031MO	7885
G00031MO	9376
G00031MO	9829
G00031MO	9830
G00031MO	9831
G00031MO	9832
G00031MO	9833
G00031MO	9834
G00031MO	9835
G00031MO	9836
G00031MO	9837
G00031MO	9838
G00031MO	12910
G00031MO	14141
G00031MO	14142
G00031MO	14143
G00031MO	14144
G00031MO	14297
G00031MO	14395
G00031MO	15921
G00031MO	17216
G00031MO	17629
G00031MO	17651
G00031MO	17720
G00031MO	17721
G00031MO	19449
G00031MO	19450
G00031MO	19451
G00031MO	19454
G00031MO	19768
G00031MO	19769
G00031MO	21799
G00031MO	27185
G00033MO	1009
G00033MO	1010
G00033MO	3237
G00033MO	9125
G00033MO	14228
G00033MO	16761
G00033MO	17155
G00033MO	17223
G00034MO	4989
G00035MO	608
G00035MO	7171
G00035MO	14094
G00036MO	12817
G00037MO	4187
G00037MO	7181
G00037MO	12918
G00037MO	25718
G00038MO	12818
G00039MO	609
G00040MO	10020
G00042MO	8547
G00044MO	12819
G00047MO	2374
G00048MO	374;1133;3991;4563;5995;6519;6672;19359
G00049MO	146
G00049MO	8306
G00049MO	9061
G00049MO	17665
G00049MO	19870
G00050MO	687
G00050MO	8309
G00050MO	17667
G00050MO	17678
G00052MO	373
G00052MO	1132
G00052MO	2037
G00052MO	2172
G00052MO	4562
G00052MO	8051
G00052MO	9152
G00052MO	14249
G00052MO	19255
G00052MO	19256
G00052MO	19257
G00052MO	19258
G00053MO	150
G00053MO	4541
G00053MO	6668
G00053MO	9300
G00053MO	13410
G00053MO	14057
G00054MO	149
G00054MO	1713
G00054MO	2173
G00054MO	2218
G00054MO	2293
G00054MO	4519
G00054MO	6010
G00054MO	9301
G00054MO	13411
G00054MO	19144
G00054MO	19852
G00054MO	22427
G00055MO	281
G00055MO	364
G00055MO	601
G00055MO	1244
G00055MO	1694
G00055MO	2034
G00055MO	2051
G00055MO	2208
G00055MO	2291
G00055MO	5292
G00055MO	5668
G00055MO	5956
G00055MO	7192
G00055MO	7196
G00055MO	8460
G00055MO	9658
G00055MO	12940
G00055MO	17802
G00055MO	17803
G00055MO	17804
G00055MO	17893
G00055MO	18067
G00055MO	18486
G00055MO	21512
G00056MO	363
G00056MO	4392
G00056MO	6673
G00056MO	6845
G00056MO	7093
G00056MO	7175
G00056MO	7222
G00056MO	14055
G00056MO	14250
G00056MO	14536
G00056MO	18547
G00056MO	19637
G00056MO	27187
G00057MO	12951
G00057MO	13365
G00057MO	13618
G00057MO	22880
G00059MO	138
G00059MO	342
G00059MO	3457
G00059MO	7425
G00059MO	7426
G00059MO	7626
G00059MO	8422
G00059MO	9498
G00059MO	9643
G00059MO	9644
G00059MO	17149
G00059MO	17351
G00059MO	18383
G00059MO	18993
G00059MO	22849
G00060BT	16171
G00061MO	743
G00061MO	2686
G00061MO	7115
G00061MO	7646
G00061MO	7647
G00061MO	9500
G00061MO	14264
G00061MO	14266
G00009BX	14295
G00012MO	4097
G00063MO	6660
G00063MO	25734
G00065MO	285
G00065MO	523
G00065MO	673
G00065MO	2281
G00065MO	3243
G00065MO	4516
G00065MO	4532
G00065MO	8827
G00065MO	19850
G00016MO	5207
G00066MO	372
G00066MO	2311
G00066MO	5986
G00066MO	6235
G00066MO	7253
G00066MO	15226
G00066MO	22211
G00066MO	22308
G00024MO	113
G00024MO	3024
G00024MO	15533
G00024MO	16828
G00024MO	20067
G00024MO	27365
G00068MO	362
G00068MO	1709
G00068MO	1743
G00068MO	3234
G00068MO	3988
G00068MO	5431
G00068MO	7251
G00068MO	9477
G00068MO	13944
G00068MO	14893
G00068MO	15462
G00068MO	15465
G00068MO	19862
G00068MO	22890
G00068MO	27147
G00025MO	18964
G00025MO	3019
G00025MO	6366
G00025MO	10006
G00025MO	11961
G00025MO	13560
G00069MO	1221
G00070MO	1222
G00070MO	3204
G00026MO	1210
G00076PK	3997
G00076PK	7198
G00076PK	7434
G00076PK	17208
G00076PK	18550
G00089VH	12212
G00112IO	18344
G00176HZ	5112
G00176HZ	23214
G00212ZT	2566
G00272VU	12533
G00272VU	24041
G00287UD	3154
G00320ZP	12484
G00320ZP	24034
G00362UY	1891
G00370EI	2651
G00395TQ	232
G00395TQ	22945
G00413UF	3104
G00413UF	23692
G00428HK	2538
G00470UO	1817
G00482HJ	3150
G00482HJ	16019
G00504PZ	1380
G00504PZ	4033
G00536FZ	23216
G00547ZN	12861
G00547ZN	17021
G00619DD	2843
G00619DD	9202
G00619DD	9204
G00619DD	21555
G00619DD	22612
G00633GI	11767
G00646SN	15710
G00662IB	3866
G00662IB	23727
G00688TE	1913
G00705XW	4411
G00706AL	15730
G00711QT	1908
G00743WU	25461
G00797ZX	15260
G00797ZX	24275
G00826SV	25946
G00850LT	25495
G00851XQ	5151
G00876GU	24196
G00883DO	14240
G00883DO	24247
G00883ZT	1088
G00891GP	12383
G00909GK	23699
G00910WD	15706
G00972DY	8819
G00978TF	1278
G00979XR	620
G00986YT	24431
G01028CW	3447
G01031EZ	16300
G01040ZV	5239
G01040ZV	12164
G01040ZV	16004
G01200BW	12268
G01296LJ	2858
G01329EH	8765
G01342FO	25745
G01347XI	3091
G01364ZC	2585
G01465MJ	16309
G01534TU	21799
G01534TU	3218
G01534TU	3482
G01534TU	6507
G01534TU	6847
G01534TU	7134
G01534TU	9839
G01534TU	9840
G01534TU	9841
G01534TU	9842
G01534TU	9843
G01534TU	9844
G01534TU	9845
G01534TU	9846
G01534TU	9847
G01534TU	14227
G01534TU	14298
G01534TU	19651
G01534TU	19652
G01534TU	19766
G01534TU	21894
G01534TU	22458
G01614ZM	16225
G01614ZM	676
G01614ZM	4530
G01614ZM	5335
G01614ZM	5336
G01614ZM	17631
G01614ZM	17672
G01614ZM	19945
G01614ZM	19946
G01614ZM	19990
G01614ZM	23056
